Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,MAPE_%,Training_Time_s
Linear Regression,1.0,1.0,6.356771574904261e-11,6.295209907628167e-11,4.6214788971914316e-11,4.5995066684152184e-11,4.643151358186931e-13,0.118477
Ridge,0.9999985983108005,0.9999984986674126,21.531072769893953,21.56810715068244,11.095187084097441,11.46429425516572,0.14459692564835833,0.031604
Lasso,0.9996080433755317,0.9995672228722781,360.0466792383949,366.1893647232645,217.9520717904298,217.09223265478192,1.5155829093013757,1.670112
Gradient Boosting,0.9971245813542465,0.9957625676364286,975.1924888434735,1145.8426053092483,633.4603831546107,679.6244423906222,4.769086097254479,35.824084
LightGBM,0.9980300619788297,0.9956808040132636,807.1719967856366,1156.8446227574811,514.5011146745312,591.8238110429273,4.175824812195047,0.67813
Extra Trees,1.0,0.9945938614406501,3.539084634433235e-11,1294.2469881559405,2.1615085480524458e-11,588.5302433377683,3.901510628175268,8.958461
XGBoost,0.9994184318789331,0.9942560675122569,438.57119230946887,1334.0688390971957,309.48899944824456,487.8567635510825,3.332809739594826,1.062947
Random Forest,0.9989822164185577,0.9916410147608499,580.1863749233395,1609.3494500296376,269.4436390880089,608.2306056542022,3.9105123964910886,17.365768
Decision Tree,1.0,0.9901551315666528,0.0,1746.5399943334821,0.0,791.6675894632925,4.93547689213589,1.577463
ElasticNet,0.9849106710591247,0.9805603108118631,2233.9567886606505,2454.246810305394,1011.9188234602549,1056.0089875814856,13.152361351049006,0.574291
KNN,0.9901099402591601,0.979014348802872,1808.5864083361143,2549.968419378779,779.7388541408149,1006.7811413010932,13.598554687359933,1.395842
